Titles,Authors,Descriptions,Avg Rating,Number of Pages
The Poet X,Elizabeth Acevedo,"A young girl in Harlem discovers slam poetry as a way to understand her mother’s religion and her own relationship to the world. Debut novel of renowned slam poet Elizabeth Acevedo.Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about. With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself.So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out, much less speak her words out loud. But still, she can’t stop thinking about performing her poems.Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.",4.37,368 pages
Beowulf,Unknown,"Beowulf is a major epic of Anglo-Saxon literature, probably composed between the first half of the seventh century and the end of the first millennium. The poem was inspired by Germanic and Anglo-Saxon oral tradition recounting the exploits of Beowulf, the hero who gave his name to the poem. Here, it's transcribed as a verse epic, onto which are grafted Christian additions.",3.46,245 pages
Paradise Lost,John Milton,"John Milton's Paradise Lost is one of the greatest epic poems in the English language. It tells the story of the Fall of Man, a tale of immense drama and excitement, of rebellion and treachery, of innocence pitted against corruption, in which God and Satan fight a bitter battle for control of mankind's destiny. The struggle rages across three worlds - heaven, hell, and earth - as Satan and his band of rebel angels plot their revenge against God. At the center of the conflict are Adam and Eve, who are motivated by all too human temptations but whose ultimate downfall is unyielding love.Marked by Milton's characteristic erudition, Paradise Lost is a work epic both in scale and, notoriously, in ambition. For nearly 350 years, it has held generation upon generation of audiences in rapt attention, and its profound influence can be seen in almost every corner of Western culture.",3.81,453 pages
Twenty Love Poems and a Song of Despair,Pablo Neruda,"When it appeared in 1924, this work launched into the international spotlight a young and unknown poet whose writings would ignite a generation. W. S. Merwin's incomparable translation faces the original Spanish text. Now in a black-spine Classics edition with an introduction by Cristina Garcia, this book stands as an essential collection that continues to inspire lovers and poets around the world.The most popular work by Chile's Nobel Prize-winning poet, and the subject of Pablo Larraín's acclaimed feature film Neruda starring Gael García Bernal.",4.24,60 pages
Shakespeare's Sonnets,William Shakespeare,"The Arden Shakespeare has long been acclaimed as the established scholarly edition of Shakespeare's work. Now being totally reedited for the third time, Arden editions offer the very best in contemporary scholarship. Each volume provides a clear and authoritative text, edited to the highest standards; detailed textual notes and commentary on the same page of the text; full contextual, illustrated introduction, including an in-depth survey of critical and performance approaches to the play; and selected bibliography.",4.24,488 pages
Night Sky with Exit Wounds,Ocean Vuong,"Ocean Vuong's first full-length collection aims straight for the perennial ""big""—and very human—subjects of romance, family, memory, grief, war, and melancholia. None of these he allows to overwhelm his spirit or his poems, which demonstrate, through breath and cadence and unrepentant enthrallment, that a gentle palm on a chest can calm the fiercest hungers.",4.21,89 pages
The Witch Doesn't Burn in This One,Amanda Lovelace,,3.76,192 pages
The Iliad,Homer,"Dating to the ninth century B.C., Homer’s timeless poem still vividly conveys the horror and heroism of men and gods wrestling with towering emotions and battling amidst devastation and destruction, as it moves inexorably to the wrenching, tragic conclusion of the Trojan War. Renowned classicist Bernard Knox observes in his superb introduction that although the violence of the Iliad is grim and relentless, it coexists with both images of civilized life and a poignant yearning for peace. Combining the skills of a poet and scholar, Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, brings the energy of contemporary language to this enduring heroic epic. He maintains the drive and metric music of Homer’s poetry, and evokes the impact and nuance of the Iliad’s mesmerizing repeated phrases in what Peter Levi calls “an astonishing performance.”",3.88,683 pages
Citizen: An American Lyric,Claudia Rankine,"A provocative meditation on race, Claudia Rankine's long-awaited follow up to her groundbreaking book Don't Let Me Be Lonely: An American Lyric.Claudia Rankine's bold new book recounts mounting racial aggressions in ongoing encounters in twenty-first-century daily life and in the media. Some of these encounters are slights, seeming slips of the tongue, and some are intentional offensives in the classroom, at the supermarket, at home, on the tennis court with Serena Williams and the soccer field with Zinedine Zidane, online, on TV-everywhere, all the time. The accumulative stresses come to bear on a person's ability to speak, perform, and stay alive. Our addressability is tied to the state of our belonging, Rankine argues, as are our assumptions and expectations of citizenship. In essay, image, and poetry, Citizen is a powerful testament to the individual and collective effects of racism in our contemporary, often named ""post-race"" society.",4.27,169 pages
,,,,
Crush,Richard Siken,"Richard Siken’s Crush, selected as the 2004 winner of the Yale Younger Poets prize, is a powerful collection of poems driven by obsession and love. Siken writes with ferocity, and his reader hurtles unstoppably with him. His poetry is confessional, gay, savage, and charged with violent eroticism. In the world of American poetry, Siken's voice is striking. In her introduction to the book, competition judge Louise Glück hails the “cumulative, driving, apocalyptic power, [and] purgatorial recklessness” of Siken’s poems. She notes, “Books of this kind dream big. . . . They restore to poetry that sense of crucial moment and crucial utterance which may indeed be the great genius of the form.”",4.28,62 pages
Les Fleurs du Mal,Charles Baudelaire,"Charles Baudelaire's 1857 masterwork was scandalous in its day for its portrayals of sex, same-sex love, death, the corrupting and oppressive power of the modern city and lost innocence, Les Fleurs du Mal (The Flowers of Evil) remains powerful and relevant for our time.In Spleen et idéal,"" Baudelaire dramatizes the erotic cycle of ecstacy and anguish--of sexual and romantic love. Tableaux Parisiens condemns the crushing effects of urban planning on a city's soul and praises the city's anti-heroes including the deranged and derelict. Le Vin centers on the search for oblivion in drink and drugs. The many kinds of love that lie outside traditional morality is the focus of Fleurs du Mal while rebellion is at the heart of Révolte.",4.22,365 pages
The Prophet,Kahlil Gibran,"Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",4.21,127 pages
The Complete Stories and Poems,Edgar Allan Poe,"This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.",4.37,821 pages
Falling Up,Shel Silverstein,"Millie McDeevit screamed a screamSo loud it made her eyebrows steam.She screamed so loudHer jawbone broke,Her tongue caught fire,Her nostrils smoked...
Poor Screamin' Millie is just one of the unforgettable characters in this wondrous new book of poems and drawings by the creator of Where the Sidewalk Ends and A Light in the Attic. Here you will also meet Allison Beals and her twenty-five eels; Danny O'Dare, the dancin' bear; the Human Balloon; and Headphone Harold.So come, wander through the Nose Garden, ride the Little Hoarse, eat in the Strange Restaurant, and let the magic of Shel Silverstein open your eyes and tickle your mind.",4.32,178 pages
Salt,Nayyirah Waheed,,4.26,251 pages
The Poetry of Robert Frost,Robert Frost,"The only comprehensive gathering of Frost's published poetry, this affordable volume offers the entire contents of his eleven books of verse, from A Boy's Will (1913) to In the Clearing (1962). Frost scholar Lathem, who was also a close friend of the four-time Pulitzer Prize-winner, scrupulously annotated the 350-plus poems in this collection, which has been the standard edition of Frost's work since it first appeared in 1969.",4.23,607 pages
The Waste Land,T.S. Eliot,"The text of Eliot's 1922 masterpiece is accompanied by thorough explanatory annotations as well as by Eliot's own knotty notes, some of which require annotation themselves.For ease of reading, this Norton Critical Edition presents The Waste Land as it first appeared in the American edition (Boni & Liveright), with Eliot's notes at the end. ""Contexts"" provides readers with invaluable materials on The Waste Land's sources, composition, and publication history. ""Criticism"" traces the poem's reception with twenty-five reviews and essays, from first reactions through the end of the twentieth century. Included are reviews published in the Times Literary Supplement, along with selections by Virginia Woolf, Gilbert Seldes, Edmund Wilson, Elinor Wylie, Conrad Aiken, Charles Powell, Gorham Munson, Malcolm Cowley, Ralph Ellison, John Crowe Ransom, I. A. Richards, F. R. Leavis, Cleanth Brooks, Delmore Schwartz, Denis Donoghue, Robert Langbaum, Marianne Thormählen, A. D. Moody, Ronald Bush, Maud Ellman, and Tim Armstrong. A Chronology and Selected Bibliography are included.",4.09,320 pages
Inferno,Dante Alighieri,"Of the great poets, Dante is one of the most elusive and therefore one of the most difficult to adequately render into English verse. In the Inferno, Dante not only judges sin but strives to understand it so that the reader can as well. With this major new translation, Anthony Esolen has succeeded brilliantly in marrying sense with sound, poetry with meaning, capturing both the poem’s line-by-line vigor and its allegorically and philosophically exacting structure, yielding an Inferno that will be as popular with general readers as with teachers and students. For, as Dante insists, without a trace of sentimentality or intellectual compromise, even Hell is a work of divine art.Esolen also provides a critical Introduction and endnotes, plus appendices containing Dante’s most important sources—from Virgil to Saint Thomas Aquinas and other Catholic theologians—that deftly illuminate the religious universe the poet inhabited.",4.00,490 pages
The Collected Poems,Sylvia Plath,"The aim of the present complete edition, which contains a numbered sequence of the 224 poems written after 1956 together with a further 50 poems chosen from her pre-1956 work, is to bring Sylvia Plath's poetry together in one volume, including the various uncollected and unpublished pieces, and to set everything in as true a chronological order as is possible, so that the whole progress and achievement of this unusual poet will become accessible to readers.",4.18,349 pages
Love & Misadventure,Lang Leav,"Lang Leav is a poet and internationally exhibiting artist. Awarded a coveted Churchill Fellowship, her work expresses the intricacies of love and loss. Beautifully illustrated and thoughtfully conceived, Love and Misadventure will take you on a rollercoaster ride through an ill-fated love affair- from the initial butterflies to the soaring heights- through to the devastating plunge. Lang Leav has an unnerving ability to see inside the hearts and minds of her readers. Her talent for translating complex emotions with astonishing simplicity has won her a cult following of devoted fans from all over the world.",3.96,176 pages
,,,,
Teaching My Mother How to Give Birth,Warsan Shire,"What elevates 'teaching my mother how to give birth', what gives the poems their disturbing brilliance, is Warsan Shire's ability to give simple, beautiful eloquence to the veiled world where sensuality lives in the dominant narrative of Islam; reclaiming the more nuanced truths of earlier times - as in Tayeb Salih's work - and translating to the realm of lyric the work of the likes of Nawal El Saadawi. As Rumi said, ""Love will find its way through all languages on its own"". In 'teaching my mother how to give birth', Warsan's debut pamphlet, we witness the unearthing of a poet who finds her way through all preconceptions to strike the heart directly. Warsan Shire is a Kenyan-born Somali poet and writer who is based in London. Born in 1988, she is an artist and activist who uses her work to document narratives of journey and trauma. Warsan has read her work internationally, including recent readings in South Africa, Italy and Germany, and her poetry has been translated into Italian, Spanish and Portuguese.",4.24,37 pages
The Collected Poems of W.B. Yeats,W.B. Yeats,"The Collected Poems of W. B. Yeats includes all of the poems authorized by Yeats for inclusion in his standard canon. Breathtaking in range, it encompasses the entire arc of his career, from luminous reworking of ancient Irish myths and legends, to passionate meditations on the demands and rewards of youth and old age, from exquisite, occasionally whimsical songs of love, nature, and art to somber and angry poems of life in a nation torn by war and uprising. In observing the development of rich and recurring images and themes over the course of his body of work, we can trace the quest of this century's greatest poet to unite intellect and artistry in a single magnificent vision.Revised and corrected, this edition includes Yeat's own notes on his poetry, complemented by explanatory notes from esteemed Yeats scholar Richard J. Finneran. The Collected Poems of W. B. Yeats is the most comprehensive edition of one of the world's most beloved poets available in paperback.",4.21,544 pages
A Thousand Mornings,Mary Oliver,"In A Thousand Mornings, Mary Oliver returns to the imagery that has come to define her life’s work, transporting us to the marshland and coastline of her beloved home, Provincetown, Massachusetts. In these pages, Oliver shares the wonder of dawn, the grace of animals, and the transformative power of attention. Whether studying the leaves of a tree or mourning her adored dog, Percy, she is ever patient in her observations and open to the teachings contained in the smallest of moments.Our most precious chronicler of physical landscape, Oliver opens our eyes to the nature within, to its wild and its quiet. With startling clarity, humor, and kindness, A Thousand Mornings explores the mysteries of our daily experience.",4.20,82 pages
The Raven,Edgar Allan Poe,"In Gustave Doré, one of the most prolific and successful book illustrators of the late 19h century, Edgar Allan Poe's renowned poem The Raven found perhaps its most perfect artistic interpreter. Doré's dreamlike, otherworldly style, tinged with melancholy, seems ideally matched to the bleak despair of Poe's celebrated work, among the most popular American poems ever written.This volume reprints all 26 of Doré's detailed, masterly engravings from a rare 19th-century edition of the poem. Relevant lines from the poem are printed on facing pages and the complete text is also included. Admirers of Doré will find ample evidence here of his characteristic ability to capture the mood and meaning of a work of literature in striking imagery; lovers of The Raven will delight in seeing its mournful musing on love and loss given dramatic pictorial form.",4.29,64 pages
,,,,
"If Not, Winter: Fragments of Sappho",Sappho,"From poet and classicist Anne Carson comes this translation of the work of Sappho, together with the original Greek. Carson presents all the extant fragments of Sappho's verse, employing brackets and white space to denote missing text - allowing the reader to imagine the poems as they were written.",4.43,397 pages
The Divine Comedy,Dante Alighieri,"The Divine Comedy describes Dante's descent into Hell with Virgil as a guide; his ascent of Mount Purgatory and encounter with his dead love, Beatrice; and finally, his arrival in Heaven. Examining questions of faith, desire and enlightenment, the poem is a brilliantly nuanced and moving allegory of human redemption. Dante Alighieri was born in Florence in 1265 and belonged to a noble but impoverished family. His life was divided by political duties and poetry, the most of famous of which was inspired by his meeting with Bice Portinari, whom he called Beatrice,including La Vita Nuova and The Divine Comedy. He died in Ravenna in 1321.",4.04,798 pages
Autobiography of Red,Anne Carson,"The award-winning poet Anne Carson reinvents a genre in Autobiography of Red, a stunning work that is both a novel and a poem, both an unconventional re-creation of an ancient Greek myth and a wholly original coming-of-age story set in the present.Geryon, a young boy who is also a winged red monster, reveals the volcanic terrain of his fragile, tormented soul in an autobiography he begins at the age of five. As he grows older, Geryon escapes his abusive brother and affectionate but ineffectual mother, finding solace behind the lens of his camera and in the arms of a young man named Herakles, a cavalier drifter who leaves him at the peak of infatuation. When Herakles reappears years later, Geryon confronts again the pain of his desire and embarks on a journey that will unleash his creative imagination to its fullest extent. By turns whimsical and haunting, erudite and accessible, richly layered and deceptively simple, Autobiography of Red is a profoundly moving portrait of an artist coming to terms with the fantastic accident of who he is.""A profound love story . . . sensuous and funny, poignant, musical and tender."" -- The New York Times Book Review""A deeply odd and immensely engaging book. . . . [Carson] exposes with passionate force the mythic underlying the explosive everyday.""  -- The Village VoiceA NEW YORK TIMES NOTABLE BOOK OF THE YEARNational book Critics Circle Award Finalist",4.30,149 pages
Home Body,Rupi Kaur,"Rupi Kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself – reminding readers to fill up on love, acceptance, community, family, and embrace change. Illustrated by the author, themes of nature and nurture, light and dark, rest here.i dive into the well of my bodyand end up in another worldeverything i needalready exists in methere’s no needto look anywhere else– home",4.08,192 pages
No Matter the Wreckage,Sarah Kay,"Following the success of her breakout poem, ""B,"" Sarah Kay releases her debut collection of poetry featuring work from the first decade of her career. No Matter the Wreckage presents readers with new and beloved work that showcases Kay's knack for celebrating family, love, travel, history, and unlikely love affairs between inanimate objects (""Toothbrush to the Bicycle Tire""), among other curious topics. Both fresh and wise, Kay's poetry allows readers to join in on her journey of discovering herself and the world around her. It's an honest and powerful collection.",4.23,143 pages
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"The Rime of the Ancient Mariner (originally ""The Rime of the Ancyent Marinere"") is the longest major poem by the English poet Samuel Taylor Coleridge, written in 1797–98 and published in 1798 in the first edition of Lyrical Ballads. Modern editions use a later revised version printed in 1817 and featuring a gloss. Along with other poems in Lyrical Ballads, it was a signal shift to modern poetry and the beginning of British Romantic literature.It relates the events experienced by a mariner who has returned from a long sea voyage. The Mariner stops a man on his way to a wedding ceremony and begins to narrate a story. The Wedding-Guest's reaction turns from bemusement to impatience, fear, and fascination as the Mariner's story progresses, as can be seen in the language style: for example, the use of narrative techniques such as personification and repetition to create a sense of danger, or the supernatural, or serenity, depending on the mood each different part of the poem.",3.94,77 pages
Old Possum's Book of Practical Cats,T.S. Eliot,"These loveable cat poems were written by T.S. Eliot for his godchildren and friends in the thirties. They have delighted generations of children since, and inspired Andrew Lloyd Webber's brilliant musical Cats.",4.07,56 pages
,,,,
Long Way Down,Jason  Reynolds,"An ode to Put the Damn Guns Down, this is New York Times bestseller Jason Reynolds’s fiercely stunning novel that takes place in sixty potent seconds—the time it takes a kid to decide whether or not he’s going to murder the guy who killed his brother.A cannon. A strap. A piece. A biscuit. A burner. A heater. A chopper. A gat. A hammer A tool for RULEOr, you can call it a gun. That’s what fifteen-year-old Will has shoved in the back waistband of his jeans. See, his brother Shawn was just murdered. And Will knows the rules. No crying. No snitching. Revenge. That’s where Will’s now heading, with that gun shoved in the back waistband of his jeans, the gun that was his brother’s gun. He gets on the elevator, seventh floor, stoked. He knows who he’s after. Or does he? As the elevator stops on the sixth floor, on comes Buck. Buck, Will finds out, is who gave Shawn the gun before Will took the gun. Buck tells Will to check that the gun is even loaded. And that’s when Will sees that one bullet is missing. And the only one who could have fired Shawn’s gun was Shawn. Huh. Will didn’t know that Shawn had ever actually USED his gun. Bigger huh. BUCK IS DEAD. But Buck’s in the elevator? Just as Will’s trying to think this through, the door to the next floor opens. A teenage girl gets on, waves away the smoke from Dead Buck’s cigarette. Will doesn’t know her, but she knew him. Knew. When they were eight. And stray bullets had cut through the playground, and Will had tried to cover her, but she was hit anyway, and so what she wants to know, on that fifth floor elevator stop, is, what if Will, Will with the gun shoved in the back waistband of his jeans, MISSES.And so it goes, the whole long way down, as the elevator stops on each floor, and at each stop someone connected to his brother gets on to give Will a piece to a bigger story than the one he thinks he knows. A story that might never know an END…if WILL gets off that elevator.Told in short, fierce staccato narrative verse, Long Way Down is a fast and furious, dazzlingly brilliant look at teenage gun violence, as could only be told by Jason Reynolds.",4.25,306 pages
Don't Call Us Dead,Danez Smith,"Award-winning poet Danez Smith is a groundbreaking force, celebrated for deft lyrics, urgent subjects, and performative power. Don't Call Us Dead opens with a heartrending sequence that imagines an afterlife for black men shot by police, a place where suspicion, violence, and grief are forgotten and replaced with the safety, love, and longevity they deserved here on earth. Smith turns then to desire, mortality the dangers experienced in skin and body and blood and a diagnosis of HIV positive. ""Some of us are killed / in pieces,"" Smith writes, some of us all at once. Don't Call Us Dead is an astonishing and ambitious collection, one that confronts, praises, and rebukes America--""Dear White America""--where every day is too often a funeral and not often enough a miracle.",4.51,96 pages
100 Selected Poems,E.E. Cummings,"E.E. Cummings is without question one of the major poets of the 20th century, and this volume, first published in 1959, is indispensable for every lover of modern lyrical verse. It contains one hundred of Cummings’s wittiest and most profound poems, harvested from thirty-five of the most radically creative years in contemporary American poetry. These poems exhibit all the extraordinary lyricism, playfulness, technical ingenuity, and compassion for which Cummings is famous. They demonstrate beautifully his extrapolations from traditional poetic structures and his departures from them, as well as the unique synthesis of lavish imagery and acute artistic precision that has won him the adulation and respect of critics and poetry lovers everywhere.",4.29,121 pages
The Aeneid,Virgil,"The Aeneid – thrilling, terrifying and poignant in equal measure – has inspired centuries of artists, writers and musicians.Virgil’s epic tale tells the story of Aeneas, a Trojan hero, who flees his city after its fall, with his father Anchises and his young son Ascanius – for Aeneas is destined to found Rome and father the Roman race. As Aeneas journeys closer to his goal, he must first prove his worth and attain the maturity necessary for such an illustrious task. He battles raging storms in the Mediterranean, encounters the fearsome Cyclopes, falls in love with Dido, Queen of Carthage, travels into the Underworld and wages war in Italy.",3.85,442 pages
The Complete Poems,Anne Sexton,"From the joy and anguish of her own experience, Sexton fashioned poems that told truths about the inner lives of men and women. This book comprises Sexton's ten volumes of verse, including the Pulitzer Prize-winner Live or Die, as well as seven poems from her last years.",4.28,656 pages
