Titles,Authors,Descriptions,Avg Rating,Number of Pages
The Alchemist,Paulo Coelho,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago, who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Romany woman, a man who calls himself a king, and an alchemist, all of whom point Santiago in the right direction for his quest. No one knows what the treasure is, or whether Santiago will be able to surmount the obstacles in his path; but what starts out as a journey to find worldly goods turns into a discovery of treasure within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.Illustrator: Jim Tierney",3.89,182 pages
Being and Time,Martin Heidegger,,4.04,589 pages
Candide,Voltaire,"Candide is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distinguished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling, Candide has become Voltaire's most celebrated work.",3.77,129 pages
Being and Nothingness,Jean-Paul Sartre,"Being & Nothingness is without doubt one of the most significant philosophical books of the 20th century. The central work by one of the century's most influential thinkers, it altered the course of western philosophy. Its revolutionary approach challenged all previous assumptions about the individual's relationship with the world. Known as 'the Bible of existentialism', its impact on culture & literature was immediate & was felt worldwide, from the absurdist drama of Samuel Beckett to the soul-searching cries of the Beat poets.Being & Nothingness is one of those rare books whose influence has affected the mindset of subsequent generations. Seventy years after its 1st publication, its message remains as potent as ever--challenging readers to confront the fundamental dilemmas of human freedom, choice, responsibility & action.",3.98,688 pages
Fear and Trembling,Søren Kierkegaard,"Soren Kierkegaard was a Danish philosopher, theologian, and religious author interested in human psychology. He is regarded as a leading pioneer of existentialism and one of the greatest philosophers of the 19th Century.In Fear and Trembling, Kierkegaard wanted to understand the anxiety that must have been present in Abraham when God commanded him to offer his son as a human sacrifice. Abraham had a choice to complete the task or to forget it. He resigned himself to the loss of his son, acting according to his faith. In other words, one must be willing to give up all his or her earthly possessions in infinite resignation and must also be willing to give up whatever it is that he or she loves more than God. Abraham had passed the test -- his love for God proved greater than anything else in him. And because a good and just Creator would not want a father to kill his son, God intervened at the last moment to prevent the sacrifice.",4.00,160 pages
Leviathan,Thomas Hobbes,"'The life of man, solitary, poore, nasty, brutish, and short'Written during the chaos of the English Civil War, Thomas Hobbes' Leviathan asks how, in a world of violence and horror, can we stop ourselves from descending into anarchy? Hobbes' case for a 'common-wealth' under a powerful sovereign - or 'Leviathan' - to enforce security and the rule of law, shocked his contemporaries, and his book was publicly burnt for sedition the moment it was published. But his penetrating work of political philosophy - now fully revised and with a new introduction for this edition - opened up questions about the nature of statecraft and society that influenced governments across the world.",3.71,736 pages
Nausea,Jean-Paul Sartre,"Nausea is the story of Antoine Roquentin, a French writer who is horrified at his own existence. In impressionistic, diary form he ruthlessly catalogues his every feeling and sensation about the world and people around him. His thoughts culminate in a pervasive, overpowering feeling of nausea which ""spread at the bottom of the viscous puddle, at the bottom of our time, the time of purple suspenders and broken chair seats; it is made of wide, soft instants, spreading at the edge, like an oil stain."" Roquentin's efforts to try and come to terms with his life, his philosophical and psychological struggles, give Sartre the opportunity to dramatize the tenets of his Existentialist creed.The introduction for this edition of Nausea by Hayden Carruth gives background on Sartre's life and major works, a summary of the principal themes of Existentialist philosophy, and a critical analysis of the novel itself.",3.92,178 pages
The Myth of Sisyphus and Other Essays,Albert Camus,"One of the most influential works of this century, this is a crucial exposition of existentialist thought. Influenced by works such as Don Juan, and the novels of Kafka, these essays begin with a meditation on suicide: the question of living or not living in an absurd universe devoid of order or meaning. With lyric eloquence, Camus posits a way out of despair, reaffirming the value of personal existence, and the possibility of life lived with dignity and authenticity.",4.21,212 pages
An Enquiry Concerning Human Understanding,David Hume,,3.93,96 pages
On Liberty,John Stuart Mill,"Alternate cover edition of ISBN 9780140432077Published in 1859, John Stuart Mill's On Liberty presented one of the most eloquent defenses of individual freedom in nineteenth-century social and political philosophy and is today perhaps the most widely-read liberal argument in support of the value of liberty. Mill's passionate advocacy of spontaneity, individuality, and diversity, along with his contempt for compulsory uniformity and the despotism of popular opinion, has attracted both admiration and condemnation.",3.97,187 pages
Walden,Henry David Thoreau,"Originally published in 1854, Walden; or, Life in the Woods, is a vivid account of the time that Henry D. Thoreau lived alone in a secluded cabin at Walden Pond. It is one of the most influential and compelling books in American literature. This new paperback edition-introduced by noted American writer John Updike-celebrates the 150th anniversary of this classic work. Much of Walden's material is derived from Thoreau's journals and contains such engaging pieces as ""Reading"" and ""The Pond in the Winter"" Other famous sections involve Thoreau's visits with a Canadian woodcutter and with an Irish family, a trip to Concord, and a description of his bean field. This is the complete and authoritative text of Walden-as close to Thoreau's original intention as all available evidence allows. For the student and for the general reader, this is the ideal presentation of Thoreau's great document of social criticism and dissent.",3.77,352 pages
Apology,Plato,"The Apology of Socrates is Plato's version of the speech given by Socrates as he unsuccessfully defended himself in 399BCE against the charges of ""corrupting the young, and by not believing in the gods in whom the city believes, but in other daimonia that are novel"" (24b). ""Apology"" here has its earlier meaning (now usually expressed by the word ""apologia"") of speaking in defense of a cause or of one's beliefs or actions.The revised edition of this popular textbook features revised vocabulary and grammatical notes that now appear on the same page as the text, sentence diagrams, principal parts of verbs listed both by Stephanus page and alphabetically, word frequency list for words occurring more than twice, and complete vocabulary.",4.20,127 pages
The Social Contract,Jean-Jacques Rousseau,"""Man is born free; and everywhere he is in chains.""These are the famous opening words of a treatise that has not ceased to stir vigorous debate since its first publication in 1762. Rejecting the view that anyone has a natural right to wield authority over others, Rousseau argues instead for a pact, or ‘social contract’, that should exist between all the citizens of a state and that should be the source of sovereign power. From this fundamental premise, he goes on to consider issues of liberty and law, freedom and justice, arriving at a view of society that has seemed to some a blueprint for totalitarianism, to others a declaration of democratic principles.",3.78,168 pages
On the Genealogy of Morals,Friedrich Nietzsche,"On the Genealogy of Morals (1887) is a book about the history of ethics and about interpretation. Nietzsche rewrites the former as a history of cruelty, exposing the central values of the Judaeo-Christian and liberal traditions - compassion, equality, justice - as the product of a brutal process of conditioning designed to domesticate the animal vitality of earlier cultures. The result is a book which raises profoundly disquieting issues about the violence of both ethics and interpretation. Nietzsche questions moral certainties by showing that religion and science have no claim to absolute truth, before turning on his own arguments in order to call their very presuppositions into question. The Genealogy is the most sustained of Nietzsche's later works and offers one of the fullest expressions of his characteristic concerns. This edition places his ideas within the cultural context of his own time and stresses the relevance of his work for a contemporary audience.",4.13,208 pages
Existentialism is a Humanism,Jean-Paul Sartre,"It was to correct common misconceptions about his thought that Jean-Paul Sartre, the most dominent European intellectual of the post-World War II decades, accepted an invitation to speak on October 29, 1945, at the Club Maintenant in Paris. The unstated objective of his lecture (“Existentialism Is a Humanism”) was to expound his philosophy as a form of “existentialism,” a term much bandied about at the time. Sartre asserted that existentialism was essentially a doctrine for philosophers, though, ironically, he was about to make it accessible to a general audience. The published text of his lecture quickly became one of the bibles of existentialism and made Sartre an international celebrity.The idea of freedom occupies the center of Sartre’s doctrine. Man, born into an empty, godless universe, is nothing to begin with. He creates his essence—his self, his being—through the choices he freely makes (“existence precedes essence”). Were it not for the contingency of his death, he would never end. Choosing to be this or that is to affirm the value of what we choose. In choosing, therefore, we commit not only ourselves but all of mankind.This book presents a new English translation of Sartre’s 1945 lecture and his analysis of Camus’s The Stranger, along with a discussion of these works by acclaimed Sartre biographer Annie Cohen-Solal. This edition is a translation of the 1996 French edition, which includes Arlette Elkaïm-Sartre’s introduction and a Q&A with Sartre about his lecture.",3.98,122 pages
,,,,
,,,,
Ethics,Baruch Spinoza,"Published shortly after his death, the Ethics is undoubtedly Spinoza's greatest work - an elegant, fully cohesive cosmology derived from first principles, providing a coherent picture of reality, and a guide to the meaning of an ethical life. Following a logical step-by-step format, it defines in turn the nature of God, the mind, the emotions, human bondage to the emotions, and the power of understanding - moving from a consideration of the eternal, to speculate upon humanity's place in the natural order, the nature of freedom and the path to attainable happiness. A powerful work of elegant simplicity, the Ethics is a brilliantly insightful consideration of the possibility of redemption through intense thought and philosophical reflection. The Ethics is presented in the standard translation of the work by Edwin Curley. This edition also includes an introduction by Stuart Hampshire, outlining Spinoza's philosophy and placing it in context.",4.08,186 pages
"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",Plato,"Plato is among the most influential philosophers of all time. Along with his teacher Socrates and his pupil Aristotle, he can be said to have laid the foundations for Western philosophy, science and ethics, as well as establishing the first academy for higher learning in the Western world. Socrates is one of the great figures of Western history and the founding father of its philosophical tradition. In the Dialogues, by his pupil and fellow philosopher Plato, a fascinating portrait emerges of a man who spurned material wealth and believed above all in learning and inquiry. Apology, Crito, and Phaedo recount Socrates’ trial on charges of corrupting the youth of Athens, his defiance of the court, and his last days in jail passed in discussion with friends. They form an excellent introduction to a courageous and captivating figure who paid with his life for the right to free thought.",4.10,58 pages
Politics,Aristotle,"What is the relationship of the individual to the state? What is the ideal state, and how can it bring about the most desirable life for its citizens? What sort of education should it provide? What is the purpose of amassing wealth? These are some of the questions Aristotle attempts to answer in one of the most intellectually stimulating works.Both heavily influenced by and critical of Plato's Republic and Laws, Politics represents the distillation of a lifetime of thought and observation. ""Encyclopaedic knowledge has never, before or since, gone hand in hand with a logic so masculine or with speculation so profound,"" says H. W. C. Davis in his introduction. Students, teachers, and scholars will welcome this inexpensive new edition of the Benjamin Jowett translation, as will all readers interested in Greek thought, political theory, and depictions of the ideal state.",3.97,368 pages
On the Shortness of Life,Seneca,"The Stoic writings of the philosopher Seneca offer powerful insights into the art of living, the importance of reason and morality, and continue to provide profound guidance to many through their eloquence, lucidity and timeless wisdom.Throughout history, some books have changed the world. They have transformed the way we see ourselves—and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives—and destroyed them.Now, Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization, and helped make us who we are. Penguin's Great Ideas series features twelve groundbreaking works by some of history's most prodigious thinkers, and each volume is beautifully packaged with a unique type-drive design that highlights the bookmaker's art. Offering great literature in great packages at great prices, this series is ideal for those readers who want to explore and savor the Great Ideas that have shaped the world.",4.18,106 pages
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,"Perhaps the most important work of philosophy written in the twentieth century, Tractatus Logico-Philosophicus was the only philosophical work that Ludwig Wittgenstein published during his life. Written in short, carefully numbered paragraphs of extreme brilliance, it captured the imagination of a generation of philosophers. For Wittgenstein, logic was something we use to conquer a reality which is in itself both elusive and unobtainable. He famously summarized the book in the following words: 'What can be said at all can be said clearly; and what we cannot talk about we must pass over in silence.' David Pears and Brian McGuinness received the highest praise for their meticulous translation. The work is prefaced by Bertrand Russell's original introduction to the first English edition.",4.07,142 pages
The Myth of Sisyphus,Albert Camus,"Throughout history, some books have changed the world. They have transformed the way we see ourselves—and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives—and destroyed them. Now Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization and helped make us who we are. Inspired by the myth of a man condemned to ceaselessly push a rock up a mountain and watch it roll back to the valley below, The Myth of Sisyphus transformed twentieth-century philosophy with its impassioned argument for the value of life in a world without religious meaning.",4.17,192 pages
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"A brilliant and concise account of the lives and ideas of the great philosophers, from Plato to Dewey. Few write for the non-specialist as well as Will Durant, and this book is a splendid example of his eminently readable scholarship. Durant’s insight and wit never cease to dazzle; The Story of Philosophy is a key book for anyone who wishes to survey the history and development of philosophical ideas in the Western world.",4.13,704 pages
The Problems of Philosophy,Bertrand Russell,,3.91,116 pages
Discipline and Punish: The Birth of the Prison,Michel Foucault,"Librarian note: an alternate cover for this edition can be found here.Barely two hundred and fifty years ago a man condemned of attempting to assassinate the King of France was drawn and quartered in a grisly spectacle that suggested an unmediated duel between the violence of the criminal and the violence of the state. This groundbreaking book by the most influential philosopher since Sartre compels us to reevaluate our assumptions about all the ensuing reforms in the penal institutions of the West. For as he examines innovations that range from the abolition of torture to the institution of forced labor and the appearance of the modern penitentiary, Michel Foucault suggests that punishment has shifted its focus from the prisoner's body to the soul — and that our very concern with rehabilitation encourages and refines criminal activity.Lucidly reasoned and deftly marshaling a vast body of research, Discipline and Punish is a genuinely revolutionary book, whose implications extend beyond the prison to the minute power relations of our society.",4.23,333 pages
The Prophet,Kahlil Gibran,"Kahlil Gibran’s masterpiece, The Prophet, is one of the most beloved classics of our time. Published in 1923, it has been translated into more than twenty languages, and the American editions alone have sold more than nine million copies.The Prophet is a collection of poetic essays that are philosophical, spiritual, and, above all, inspirational. Gibran’s musings are divided into twenty-eight chapters covering such sprawling topics as love, marriage, children, giving, eating and drinking, work, joy and sorrow, housing, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death.",4.21,127 pages
,,,,
Groundwork of the Metaphysics of Morals,Immanuel Kant,"Immanuel Kant's Groundwork of the Metaphysics of Morals ranks alongside Plato's Republic and Aristotle's Nicomachean Ethics as one of the most profound and influential works in moral philosophy ever written. In Kant's own words its aim is to search for and establish the supreme principle of morality, the categorical imperative. This edition presents the acclaimed translation of the text by Mary Gregor, together with an introduction by Christine M. Korsgaard that examines and explains Kant's argument.",3.84,120 pages
Discourse on Method and Meditations on First Philosophy,René Descartes,"La figura de Descartes como filósofo no ha sido objeto de unánime interpretación. Sobre todo en la actualidad se juzga y pondera su obra. no menos que su personalidad, de manera diferente. Para algunos, Descartes es de preferencia un metodólogo (W. Windelband, P. Natorp...) . Su preocupación, su gran preocupación consistió, según ellos, en dar un fundamento lógico a la nueva ciencia natural, como él mismo lo intentó y lo hizo. Descartes es, de cierto, así un clásico en la historia de la filosofía como en clásico en la historia de la ciencia. Para otros, la intención acuciante e íntima de Descartes era de orden moral y religioso (L. Blanchet, por ejemplo) : apaciguar el conflicto entre revelación y razón, entre fe y saber. De ahí, se dice, la importancia concedida a la idea de Dios en todo el sistema.Un tercer grupo enfatiza en las apreciaciones los perfiles ontológicos y metafísicos de la obra cartesiana: la finalidad reside, a su juicio, en vivir experiencias ontológicas del yo y del mundo (F. Al-pié, M. Guéroult).",3.75,103 pages
Meditations on First Philosophy,René Descartes,"Descartes's Meditations on First Philosophy, the fundamental and originating work of the modern era in Western philosophy, is presented here in Donald Cress's completely revised edition of his well-established translation, bringing this version even closer to Descartes's original, while maintaining its clear and accessible style.",3.73,59 pages
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",Epictetus,"Epictetus was born into slavery about 55 C.E. in the eastern outreaches of the Roman Empire. Sold as a child and crippled from the beatings of his master, Epictetus was eventually freed, rising from his humble roots to establish an influential school of Stoic philosophy. Stressing that human beings cannot control life, only how they respond to it, Epictetus dedicated his life to outlining the simple way to happiness, fulfillment, and tranquility. By putting into practice the ninety-three witty, wise, and razor-sharp instructions that make up The Art of Living, readers learn to successfully meet the challenges of everyday life and face life's inevitable losses and disappointments with grace. Epictetus's teachings rank among the greatest wisdom texts of human civilization. Sharon Lebell presents this esteemed philosopher's invaluable insights for the first time in a splendidly down-to-earth rendition. The result is the West's first and best primer for living the best possible life -- as helpful in the twenty-first century as it was in the first.",4.24,128 pages
