Titles,Authors,Descriptions,Avg Rating,Number of Pages
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"How can we make intelligent decisions about our increasingly technology-driven lives if we don’t understand the difference between the myths of pseudoscience and the testable hypotheses of science? Pulitzer Prize-winning author and distinguished astronomer Carl Sagan argues that scientific thinking is critical not only to the pursuit of truth but to the very well-being of our democratic institutions.Casting a wide net through history and culture, Sagan examines and authoritatively debunks such celebrated fallacies of the past as witchcraft, faith healing, demons, and UFOs. And yet, disturbingly, in today's so-called information age, pseudoscience is burgeoning with stories of alien abduction, channeling past lives, and communal hallucinations commanding growing attention and respect. As Sagan demonstrates with lucid eloquence, the siren song of unreason is not just a cultural wrong turn but a dangerous plunge into darkness that threatens our most basic freedoms.",4.26,459 pages
Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Stiff is an oddly compelling, often hilarious exploration of the strange lives of our bodies postmortem. For two thousand years, cadavers—some willingly, some unwittingly—have been involved in science's boldest strides and weirdest undertakings. In this fascinating account, Mary Roach visits the good deeds of cadavers over the centuries and tells the engrossing story of our bodies when we are no longer with them.",4.04,303 pages
,,,,
The Gene: An Intimate History,Siddhartha Mukherjee,"Spanning the globe and several centuries, The Gene is the story of the quest to decipher the master-code that makes and defines humans, that governs our form and function.The story of the gene begins in an obscure Augustinian abbey in Moravia in 1856 where a monk stumbles on the idea of a ‘unit of heredity’. It intersects with Darwin’s theory of evolution, and collides with the horrors of Nazi eugenics in the 1940s. The gene transforms post-war biology. It reorganizes our understanding of sexuality, temperament, choice and free will. This is a story driven by human ingenuity and obsessive minds – from Charles Darwin and Gregor Mendel to Francis Crick, James Watson and Rosalind Franklin, and the thousands of scientists still working to understand the code of codes.This is an epic, moving history of a scientific idea coming to life, by the author of The Emperor of All Maladies. But woven through The Gene, like a red line, is also an intimate history – the story of Mukherjee’s own family and its recurring pattern of mental illness, reminding us that genetics is vitally relevant to everyday lives. These concerns reverberate even more urgently today as we learn to “read” and “write” the human genome – unleashing the potential to change the fates and identities of our children.Majestic in its ambition, and unflinching in its honesty, The Gene gives us a definitive account of the fundamental unit of heredity – and a vision of both humanity’s past and future.",4.32,592 pages
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"An alternative cover edition for this ISBN can be found here and here.The Emperor of All Maladies is a magnificent, profoundly humane “biography” of cancer - from its first documented appearances thousands of years ago through the epic battles in the twentieth century to cure, control, and conquer it to a radical new understanding of its essence. Physician, researcher, and award-winning science writer, Siddhartha Mukherjee examines cancer with a cellular biologist’s precision, a historian’s perspective, and a biographer’s passion. The result is an astonishingly lucid and eloquent chronicle of a disease humans have lived with - and perished from - for more than five thousand years. The story of cancer is a story of human ingenuity, resilience, and perseverance, but also of hubris, paternalism, and misperception. Mukherjee recounts centuries of discoveries, setbacks, victories, and deaths, told through the eyes of his predecessors and peers, training their wits against an infinitely resourceful adversary that, just three decades ago, was thought to be easily vanquished in an all-out “war against cancer.” The book reads like a literary thriller with cancer as the protagonist. From the Persian Queen Atossa, whose Greek slave cut off her malignant breast, to the nineteenth-century recipients of primitive radiation and chemotherapy to Mukherjee’s own leukemia patient, Carla, The Emperor of All Maladies is about the people who have soldiered through fiercely demanding regimens in order to survive—and to increase our understanding of this iconic disease. Riveting, urgent, and surprising, The Emperor of All Maladies provides a fascinating glimpse into the future of cancer treatments. It is an illuminating book that provides hope and clarity to those seeking to demystify cancer.",4.27,571 pages
The Grand Design,Stephen Hawking,"THE FIRST MAJOR WORK IN NEARLY A DECADE BY ONE OF THE WORLD’S GREAT THINKERS—A MARVELOUSLY CONCISE BOOK WITH NEW ANSWERS TO THE ULTIMATE QUESTIONS OF LIFE When and how did the universe begin? Why are we here? Why is there something rather than nothing? What is the nature of reality? Why are the laws of nature so finely tuned as to allow for the existence of beings like ourselves? And, finally, is the apparent “grand design” of our universe evidence of a benevolent creator who set things in motion—or does science offer another explanation? The most fundamental questions about the origins of the universe and of life itself, once the province of philosophy, now occupy the territory where scientists, philosophers, and theologians meet—if only to disagree. In their new book, Stephen Hawking and Leonard Mlodinow present the most recent scientific thinking about the mysteries of the universe, in nontechnical language marked by both brilliance and simplicity. In The Grand Design they explain that according to quantum theory, the cosmos does not have just a single existence or history, but rather that every possible history of the universe exists simultaneously. When applied to the universe as a whole, this idea calls into question the very notion of cause and effect. But the “top-down” approach to cosmology that Hawking and Mlodinow describe would say that the fact that the past takes no definite form means that we create history by observing it, rather than that history creates us. The authors further explain that we ourselves are the product of quantum fluctuations in the very early universe, and show how quantum theory predicts the “multiverse”—the idea that ours is just one of many universes that appeared spontaneously out of nothing, each with different laws of nature.Along the way Hawking and Mlodinow question the conventional concept of reality, posing a “model-dependent” theory of reality as the best we can hope to find. And they conclude with a riveting assessment of M-theory, an explanation of the laws governing us and our universe that is currently the only viable candidate for a complete “theory of everything.” If confirmed, they write, it will be the unified theory that Einstein was looking for, and the ultimate triumph of human reason.A succinct, startling, and lavishly illustrated guide to discoveries that are altering our understanding and threatening some of our most cherished belief systems, The Grand Design is a book that will inform—and provoke—like no other.'",4.04,199 pages
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Over the last half-billion years, there have been five mass extinctions, when the diversity of life on earth suddenly and dramatically contracted. Scientists around the world are currently monitoring the sixth extinction, predicted to be the most devastating extinction event since the asteroid impact that wiped out the dinosaurs. This time around, the cataclysm is us. In prose that is at once frank, entertaining, and deeply informed, The New Yorker writer Elizabeth Kolbert tells us why and how human beings have altered life on the planet in a way no species has before. Interweaving research in half a dozen disciplines, descriptions of the fascinating species that have already been lost, and the history of extinction as a concept, Kolbert provides a moving and comprehensive account of the disappearances occurring before our very eyes. She shows that the sixth extinction is likely to be mankind's most lasting legacy, compelling us to rethink the fundamental question of what it means to be human.",4.13,336 pages
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"""Diamond has written a book of remarkable scope ... one of the most important and readable works on the human past published in recent years.""Winner of the Pulitzer Prize and a national bestseller: the global account of the rise of civilization that is also a stunning refutation of ideas of human development based on race.In this ""artful, informative, and delightful"" (William H. McNeill, New York Review of Books) book, Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had a head start in food production advanced beyond the hunter-gatherer stage, and then developed writing, technology, government, and organized religion—as well as nasty germs and potent weapons of war—and adventured on sea and land to conquer and decimate preliterate cultures. A major advance in our understanding of human societies, Guns, Germs, and Steel chronicles the way that the modern world came to be and stunningly dismantles racially based theories of human history.Winner of the Pulitzer Prize, the Phi Beta Kappa Award in Science, the Rhone-Poulenc Prize, and the Commonwealth Club of California's Gold Medal",4.03,498 pages
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,"Charles Darwin’s masterpiece, On the Origin of Species, shook society to its core on publication in 1859. Darwin was only too aware of the storm his theory of evolution would provoke but he would surely have raised an incredulous eyebrow at the controversy still raging a century and a half later. Evolution is accepted as scientific fact by all reputable scientists and indeed theologians, yet millions of people continue to question its veracity.In The Greatest Show on Earth Richard Dawkins takes on creationists, including followers of ‘Intelligent Design’ and all those who question the fact of evolution through natural selection. Like a detective arriving on the scene of a crime, he sifts through fascinating layers of scientific facts and disciplines to build a cast-iron case: from the living examples of natural selection in birds and insects; the ‘time clocks’ of trees and radioactive dating that calibrate a timescale for evolution; the fossil record and the traces of our earliest ancestors; to confirmation from molecular biology and genetics. All of this, and much more, bears witness to the truth of evolution.The Greatest Show on Earth comes at a critical time: systematic opposition to the fact of evolution is now flourishing as never before, especially in America. In Britain and elsewhere in the world, teachers witness insidious attempts to undermine the status of science in their classrooms. Richard Dawkins provides unequivocal evidence that boldly and comprehensively rebuts such nonsense. At the same time he shares with us his palpable love of the natural world and the essential role that science plays in its interpretation. Written with elegance, wit and passion, it is hard-hitting, absorbing and totally convincing.",4.14,470 pages
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,"Why did Gandhi hate iodine (I, 53)? Why did the Japanese kill Godzilla with missiles made of cadmium (Cd, 48)? How did radium (Ra, 88) nearly ruin Marie Curie's reputation? And why did tellurium (Te, 52) lead to the most bizarre gold rush in history?The periodic table is one of our crowning scientific achievements, but it's also a treasure trove of passion, adventure, betrayal and obsession. The fascinating tales in The Disappearing Spoon follow carbon, neon, silicon, gold and every single element on the table as they play out their parts in human history, finance, mythology, conflict, the arts, medicine and the lives of the (frequently) mad scientists who discovered them.Why did a little lithium (Li, 3) help cure poet Robert Lowell of his madness? And how did gallium (Ga, 31) become the go-to element for laboratory pranksters? The Disappearing Spoon has the answers, fusing science with the classic lore of invention, investigation, discovery and alchemy, from the big bang through to the end of time.",3.91,394 pages
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"If a man has lost a leg or an eye, he knows he has lost a leg or an eye; but if he has lost a self—himself—he cannot know it, because he is no longer there to know it. Dr. Oliver Sacks recounts the stories of patients struggling to adapt to often bizarre worlds of neurological disorder. Here are people who can no longer recognize everyday objects or those they love; who are stricken with violent tics or shout involuntary obscenities; who have been dismissed as autistic or retarded, yet are gifted with uncanny artistic or mathematical talents. If inconceivably strange, these brilliant tales illuminate what it means to be human.",4.05,243 pages
The God Delusion,Richard Dawkins,"A preeminent scientist - and the world's most prominent atheist - asserts the irrationality of belief in God, and the grievous harm religion has inflicted on society, from the Crusades to 9/11.With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament, to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion, and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence.The God Delusion makes a compelling case that belief in God is not just wrong, but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.",3.89,374 pages
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,"From Brian Greene, one of the world’s leading physicists and author the Pulitzer Prize finalist The Elegant Universe, comes a grand tour of the universe that makes us look at reality in a completely different way.Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Could the universe exist without space and time? Can we travel to the past? Greene has set himself a daunting task: to explain non-intuitive, mathematical concepts like String Theory, the Heisenberg Uncertainty Principle, and Inflationary Cosmology with analogies drawn from common experience. From Newton’s unchanging realm in which space and time are absolute, to Einstein’s fluid conception of spacetime, to quantum mechanics’ entangled arena where vastly distant objects can instantaneously coordinate their behavior, Greene takes us all, regardless of our scientific backgrounds, on an irresistible and revelatory journey to the new layers of reality that modern physics has discovered lying just beneath the surface of our everyday world.",4.09,569 pages
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Neuroscientist and sleep expert Matthew Walker provides a revolutionary exploration of sleep, examining how it affects every aspect of our physical and mental well-being. Charting the most cutting-edge scientific breakthroughs, and marshalling his decades of research and clinical practice, Walker explains how we can harness sleep to improve learning, mood and energy levels, regulate hormones, prevent cancer, Alzheimer's and diabetes, slow the effects of aging, and increase longevity. He also provides actionable steps towards getting a better night's sleep every night.",4.35,368 pages
Seven Brief Lessons on Physics,Carlo Rovelli,"All the beauty of modern physics in fewer than a hundred pages.This is a book about the joy of discovery. A playful, entertaining, and mind-bending introduction to modern physics, it's already a major bestseller in Italy and the United Kingdom. Carlo Rovelli offers surprising—and surprisingly easy to grasp—explanations of general relativity, quantum mechanics, elementary particles, gravity, black holes, the complex architecture of the universe, and the role humans play in this weird and wonderful world. He takes us to the frontiers of our knowledge: to the most minute reaches of the fabric of space, back to the origins of the cosmos, and into the workings of our minds. “Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and the beauty of the world,” Rovelli writes. “And it’s breathtaking.”",3.96,81 pages
"Thinking, Fast and Slow",Daniel Kahneman,"In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation—each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.Engaging the reader in a lively conversation about how we think, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives—and how we can use different techniques to guard against the mental glitches that often get us into trouble. Thinking, Fast and Slow will transform the way you think about thinking.",4.16,499 pages
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,,3.93,334 pages
Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity’s future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style—thorough, yet riveting—famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda.What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus.With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future.",4.21,450 pages
The Structure of Scientific Revolutions,Thomas S. Kuhn,"Thomas S. Kuhn's classic book is now available with a new index. ""A landmark in intellectual history which has attracted attention far beyond its own immediate field. . . . It is written with a combination of depth and clarity that make it an almost unbroken series of aphorisms. . . . Kuhn does not permit truth to be a criterion of scientific theories, he would presumably not claim his own theory to be true. But if causing a revolution is the hallmark of a superior paradigm, [this book] has been a resounding success."" Nicholas Wade, Science ""Perhaps the best explanation of [the] process of discovery."" William Erwin Thompson, New York Times Book Review ""Occasionally there emerges a book which has an influence far beyond its originally intended audience. . . . Thomas Kuhn's The Structure of Scientific Revolutions . . . has clearly emerged as just such a work."" Ron Johnston, Times Higher Education Supplement ""Among the most influential academic books in this century."" Choice One of ""The Hundred Most Influential Books Since the Second World War,"" Times Literary Supplement",4.02,226 pages
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"***30th Anniversary Edition*** Cover note: Each copy of the anniversary edition of The Blind Watchmaker features a unique biomorph. No two covers are exactly alike.Acclaimed as the most influential work on evolution written in the last hundred years, The Blind Watchmaker offers an inspiring and accessible introduction to one of the most important scientific discoveries of all time. A brilliant and controversial book which demonstrates that evolution by natural selection - the unconscious, automatic, blind yet essentially non-random process discovered by Darwin - is the only answer to the biggest question of all: why do we exist?",4.07,466 pages
The Universe in a Nutshell,Stephen Hawking,"Stephen Hawking’s phenomenal, multimillion-copy bestseller, A Brief History of Time, introduced the ideas of this brilliant theoretical physicist to readers all over the world.Now, in a major publishing event, Hawking returns with a lavishly illustrated sequel that unravels the mysteries of the major breakthroughs that have occurred in the years since the release of his acclaimed first book.",4.17,216 pages
Chaos: Making a New Science,James Gleick,"A work of popular science in the tradition of Stephen Hawking and Carl Sagan, this 20th-anniversary edition of James Gleick’s groundbreaking bestseller Chaos introduces a whole new readership to chaos theory, one of the most significant waves of scientific knowledge in our time. From Edward Lorenz’s discovery of the Butterfly Effect, to Mitchell Feigenbaum’s calculation of a universal constant, to Benoit Mandelbrot’s concept of fractals, which created a new geometry of nature, Gleick’s engaging narrative focuses on the key figures whose genius converged to chart an innovative direction for science. In Chaos, Gleick makes the story of chaos theory not only fascinating but also accessible to beginners, and opens our eyes to a surprising new view of the universe.",4.02,352 pages
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Douglas Hofstadter's book is concerned directly with the nature of “maps” or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.",4.26,777 pages
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,,4.28,384 pages
Physics of the Impossible,Michio Kaku,"A fascinating exploration of the science of the impossible—from death rays and force fields to invisibility cloaks—revealing to what extent such technologies might be achievable decades or millennia into the future.One hundred years ago, scientists would have said that lasers, televisions, and the atomic bomb were beyond the realm of physical possibility. In Physics of the Impossible, the renowned physicist Michio Kaku explores to what extent the technologies and devices of science fiction that are deemed equally impossible today might well become commonplace in the future.From teleportation to telekinesis, Kaku uses the world of science fiction to explore the fundamentals—and the limits—of the laws of physics as we know them today. He ranks the impossible technologies by categories—Class I, II, and III, depending on when they might be achieved, within the next century, millennia, or perhaps never. In a compelling and thought-provoking narrative, he explains:· How the science of optics and electromagnetism may one day enable us to bend light around an object, like a stream flowing around a boulder, making the object invisible to observers “downstream”· How ramjet rockets, laser sails, antimatter engines, and nanorockets may one day take us to the nearby stars· How telepathy and psychokinesis, once considered pseudoscience, may one day be possible using advances in MRI, computers, superconductivity, and nanotechnology· Why a time machine is apparently consistent with the known laws of quantum physics, although it would take an unbelievably advanced civilization to actually build oneKaku uses his discussion of each technology as a jumping-off point to explain the science behind it. An extraordinary scientific adventure, Physics of the Impossible takes readers on an unforgettable, mesmerizing journey into the world of science that both enlightens and entertains.",4.06,329 pages
Bad Science,Ben Goldacre,"Full of spleen, this is a hilarious, invigorating and informative journey through the world of Bad Science. When Dr Ben Goldacre saw someone on daytime TV dipping her feet in an 'Aqua Detox' footbath, releasing her toxins into the water, turning it brown, he thought he'd try the same at home. 'Like some kind of Johnny Ball cum Witchfinder General', using his girlfriend's Barbie doll, he gently passed an electrical current through the warm salt water. It turned brown. In his words: 'before my very eyes, the world's first Detox Barbie was sat, with her feet in a pool of brown sludge, purged of a weekend's immorality.' Dr Ben Goldacre is the author of the Bad Science column in the Guardian. His book is about all the 'bad science' we are constantly bombarded with in the media and in advertising. At a time when science is used to prove everything and nothing, everyone has their own 'bad science' moments from the useless pie-chart on the back of cereal packets to the use of the word 'visibly' in cosmetics ads.",4.04,338 pages
