Review Dates,Review Titles,Reviews,Star Ratings
"Apr. 11, 2022",Wont let me restart membership now and…,"Netflix is trying to make a rule that even though you pay for 4 screens you will have to pay extra for people outside of the house...So bassicly if i am in college and my parents are home my parents have to pay extra to give me netflix, i am buying disney plus #stopNetflix!!",2
"Apr. 11, 2022",To be honest I’m not satisfied …,"For movies that don’t get a thumbs up or down, I would like to see the movies give an indication if the movie has been watched or not.",3
"Apr. 10, 2022",Netflix are money thieves #stopNetlfix,"Took payment from my bank even though my card was cancelled.i had a fraud issue with my bank card - the same bank card i used to set up my subscription to Netflix and it needed to be stopped.When my monthly subscription was due, the payment to Netflix failed as expected BUT they STILL managed to obtain my new card details from my bank without my consent or my knowledge and took the money.Now, i woul have set up the subscription with the new card anyway but how audacious is practice? in my view, it's bordering on deceipt because i dont ever recall seeing anything about agreein to a continuous payment authority i agreed to, ever.but it's there apparently AND, YOU CANT STOP IT.my opinion of Netflix has gone down the toilet after this little episode and what's even more disappointing is that they wont let me cancel the continuous payment agreement.it just stinks of corportate greed and an abuse of its customer's patronage.",1
"Updated Apr. 9, 2022",Please add a watched button.,"Alex was very respectful and professional. Supported and guided me in my problem when somebody changed my email account!! If you see this comment Alex, really apologise I’ve hanged up before leaving a feedback at the end of the call, that was not my intention! Hope you will read this and feel appreciated from my side!! All the best and keep your attitude!!",4
"Apr. 9, 2022",Took payment from my bank even though…,"Let's really be honest here! If you get a family account and share the cost, it has all you need. They go to efforts to launch new movies, even if they are not Oscar material all of them, they still are good. I have also another service which I won't name but still Netflix remains my preference.",1
"Apr. 9, 2022",Alex was very respectful and…,Like to steal your money. Have charged me and taken payment for days I didn't have Netflix. Have cancelled my subscription and will be reporting to my bank,5
"Updated Apr. 8, 2022",One of the best streaming platforms,"went to sign up, after realising how expensive it was, i chose not to buy it, no way am i paying 6.99 a month for myself and it doesnt even come in high definition, thats silly prices just not worth it.",5
"Apr. 8, 2022",Like to steal your money,I have had Netflix for several years. Don't watch anymore. I canceled my service but they took the money out of my account anyway. Won't let you remove your credit card from the account. Customer service was not helpful and was rude. I don't reccomend Netflix.,1
"Apr. 8, 2022",went to sign up,"Racism suspected here. i created a premium account in africa but i went to belgium on a trip i got the message the account cannot work there. I needed to create another premium account in Belgium. miraculously when i returned to africa, my belgium account was still working. I first thought they were something wrong.Now a day, wherever I am, my Belgian account works but the account I created in Africa only works in Africa. why this racism in 2022. it's a shame for you netflix",1
"Apr. 7, 2022",Netfix sucks,I watch Netflix with my family all the time.,1
"Apr. 7, 2022",Racism suspected here,I really wish they'd let you see what's on offer before you have to subscribe. In fact I'd go as far as saying it's a form of gambling. I'm buying a product and have no idea what I'll receive or if it's the right product for my needs. That doesn't sit right with me and personally I think it should be changed. In reality it won't ever be changed because they know that people will just look at what's on offer and go elsewhere unless there's good content. You see where I'm going with this...,1
"Apr. 6, 2022",I watch Netflix with my family all the…,Absolutely horrible customer service. Nothing but talking in circles,5
"Apr. 6, 2022",Gambling for media.,"We recently rejoined Netflix having left them about a year ago due to extortionate fee hikes with no improvement in films or TV offerings.  Yet again, they've messaged me to say their prices are increasing AGAIN!  I explained I can't afford an increase.  I got the usual customer service nonsense about their programmes have really improved, etc.hence the price increase.  But they really haven't!  I struggle to find anything worth watching.  Customer service weren't the slightly bit interested and sent me an email with instructions on how to rejoin when I change my mind.  Avoid and use other streaming services.",1
"Apr. 3, 2022",Absolutely horrible customer service,Visited tunisia and used my account blacklist up to season 7 was available to watch I also download on my phone. Get home and no blacklist on uk Netflix try to watch my downloads and told not possible in this country. I feel us in Britain are seen as people to make the most money out of us and  get extra charges out of us and we just pay well I'm looking into other suitable subscriptions that don't discriminate you and make you pay more for being British.,1
"Apr. 3, 2022","Arrogant with customers, poor range of programmes/films","After years I've decided to quit Netflix. The quality of shows and movies is horrible like they're rushing to get them out as soon as possible. With their newest limitation on account sharing, I'm sure I've made a good decision. Switched to HBO for now.",1
"Apr. 1, 2022",Visited tunisia and used my account…,you guys are taking down my comfort movie. the movie that helps me calm down when im mad and when my boyfriend is not here. plus its our favorite movie to watch together because we can never agree on a movie so we just watch despicable me. this is making me very sad. please dont take this movie down.,1
"Apr. 1, 2022",Time to say bye.,Cancelled after 6 years - price increase yet again to help make way for more documentries on cocaine and Mexican drug cartels. Borzville!,3
"Apr. 1, 2022",you guys are taking down my comfort…,Pays zero taxes yet keep bumping the prices up.,1
"Mar. 31, 2022",Cancelled after 6 years,"I've been using Netflix for a while and my phone company Tmobile offers Netflix. Thats was the biggest mistake I made is taking Netflix through my phone company. They offer only one screen, then I upgraded to premium and my husband traveled because we travels and now we can't watch netflix overseas with our account. Netflix is now telling us to make two accounts and pay two separate bills. Netflix suggested that we make an account overseas and keep one here in the United States. This is totally nonsense.",1
"Mar. 30, 2022",Pays zero taxes yet keep bumping the…,"I have a DUTCH netflix account - Because i'm DUTCH. When I cross a border - vacation, work, whatever - netflix offers the local content, which is more or less OK - but in the LOCAL LANGUAGE. When I'm in germany - ENGLISH movies are in GERMAN language => cant turn it off, the movie only has 1 language: german - insane. Same goes for Spain, Portugal, Hungary...  TO NETFLIX: When I (or someone else) cross a border - I am not suddenly a different nationality! The matrix - where you can download a new language - IS NOT REAL! this is moronicly stupid....",1
"Mar. 29, 2022",I've been using Netflix for a while and…,"Netflix sending millions of phising texts, saying videos are waiting. This is coming from netflix and not from another fraudulant source.Spoken to my network and they have confirmed this.I am not subscribed to them I will not click on and give them my email ect.Beware of this scam and report also delete.Just been offered another 65 movies and a get started message.Well Neflix get lost with your unsolicited messages.Just got another 98 movies added, to what?",1
"Mar. 29, 2022",stupid Language Isues when crossing borders,Making billions and still inflating the price regularly while the world struggles. £8 to £16 in just a few years. I’m out! Back to The Pirate Bay for me!,1
"Updated Apr. 12, 2022",Netflix sending phising 🎣 texts.,"We had an account and money was tight so we couldn't pay for a few weeks. Understandably, our account was suspended. No problems there.Except when we did finally pay, they informed us that it'd take a week for the service to come back. So instead of paying for a full month of use we'd be paying for 3 weeks and then paying for the next month. See the problem?Then we asked for a refund and they said itd take a week to process. So taking our money was instant but giving it back takes a while. Mhm. Plus selections are limited. I can count a few hundred times I've wanted to watch something but it wasnt on Netflix. But theyre quick to create new shows with tiktokers that cant act and such, knowing that their fandom which is mostly teens and children will ask their parents for an account to support their faves. They're a money thirsty company that doesn't care for quality and goes for the quick buck.",1
"Mar. 27, 2022",Making billions and still inflating the…,Netflix does not fuilfuil customer request and takes full money on time as regards they just have same movie titles n series and majority of them are Acton one. Netflix did not provided me with good results nor have taken seriously about my complaint they think I'm giving them feedback. Not helpful staff.very very ignorance,1
"Mar. 25, 2022",Hate it so much I might get cable!,If I could give Netflix a zero I would how about five zeros their new pricing and their policies are stupid all it is is a way for the CEO and the cosio to grease their palms if a person is watching Netflix at home the other person can't watch it at work you both have to be in the same house to watch it or both at the same job how stupid is this greedy greedy greedy nothing but thieves.,1
"Mar. 24, 2022",Netflix does not fuilfuil customer…,"I tried, but the HBO is better choice right now",1
"Mar. 23, 2022",If I could give Netflix a zero I would…,Hi I love Netflix sure it is devastating when good shows go away but yes they bring in all sorts of shows that you love that you like to watch in every day life that you were in before but can’t see anymore it’s just amazing that they have those shows I extremely love Netflix and Disney+ is another app you should check it out but it is to die for Netflix,1
"Mar. 23, 2022",HBO is better,So many films that have the background music drowning out the voices of the characters. Perhaps not Netflix fault but its getting awful.,3
"Mar. 23, 2022",I wish I could give Netflix six stars sadly I can’t,"In the category options, give the options dubbed from International  movie and drama in Hindi language... ( specially Korean drama)",5
"Mar. 22, 2022",So many films that have the background…,I can't believe what Netflix has gone like most of the films are dubbed and really bad to watch it's got terrible for dubbed movies don't think I will use it anymore,3
"Mar. 21, 2022",Ine category options,"Greeeeeed ! Netflix is such a greedy company they want cash for everything, the selection on the platform is poor.... So they have nothing to bargen with.",5
"Mar. 20, 2022",Adds adds adds scam,The app has come a long way from the start but needs to catch up with new content and user interface!,1
"Mar. 20, 2022",Most films are dubbed,Love it! Great service and good selection,2
"Mar. 18, 2022",Greeeeeed,"I cancelled Netflix last month (Feb of 2022) when it was announced they would be giving Dave Chappelle 4 new specials after his hate Speech regarding the trans community. This was a personal decision as I recognize his right to free speech, but then I was charged again this month to a card I didn’t even have on file on my account. I had literally no idea how they even got that CC number. When I signed back in, to confirm the account number,  was signed back up again (because it automatically signs you back up any timeYou sign in). I don’t want this company to have my money and yet I was charged $40 this week (abs from 2 different accounts that don’t match any of my CCs)",1
"Mar. 18, 2022",The app has come a long way from the…,"Unless you are simple minded and enjoy  contrived and predictable shows and third rate movies, there isn’t much worth watching. Certainly, classic movies are rare. Highly overrated and disappointing. Ninety percent garbage.",4
"Mar. 15, 2022",Love the shows,Poor customer service. Reported audio issues with Drive to Survive. Apparently a known issue. I asked for ETA. They cant. I asked for notification when fixed. They cant. Customer service need some kind of ticketing system. Useless livechat.,4
"Mar. 15, 2022",Love it,"Yikes. Used to watch Netflix all the time. Now as it gets more expensive , maybe 3 or 4 shows I like that come out with new short season after a year or 2. Not worth money, they push sexually charged and hateful programs which is highly offensive and quite often just flat out inappropriate.",5
"Mar. 13, 2022",I cancelled Netflix last month (Feb of…,This is such a terrible and bizarre service. Keeps freezing at the end of a movie. Corrupts my TV into not working at all. So I have to get out of bed to switch tv off by the switch. Comes on by itself with a blank screen whilst I'm sleeping and wakes me up. This is horrendous. Waste of money and poor service. Especially when it causes these problems. Should be a free service after all this experience.,1
"Mar. 13, 2022",Disappointing,"I enjoy Netflix, but the decision to increase prices (whilst consumers are already facing massive cost of living hikes) just to pose more of a threat against it’s competition is selfish and greedy. I think that alone warrants a bad review. But what else do you expect from a big corporation these days 🤷‍♀️",1
"Mar. 12, 2022",Poor customer service,Por favor no quiten los picapiedras en persona y regresen pasante de moda,1
"Mar. 12, 2022",Yikes,just deleted my netflix because censoring russia .i am against all this company's  hat are censoring other people  the people have nothing to do with the war the world should have decentralised apps  it's 2022 not year 1800deleted netflix bye,1
"Mar. 12, 2022",This is such a terrible and bizarre…,Feel I’ve been betrayed After taking a package from sky including Netflix. I cancelled my original Netflix package and cancelled the payments but the b@rstuards kept taking my money for 6 months off my bank card. I think this will carry on and I will need to cancel my bank card to stop them.,1
"Mar. 11, 2022",Increasing prices when it’s customers are already struggling.,Really good connection and decent enough content to begin with. There is hardly anything worthwhile from the nineties and noughties though. I find far more options on Prime than I do on Netflix now.,1
"Mar. 10, 2022",Por favor no quiten los picapiedras en…,"The best TV and movie streaming company currently. The price is ok, the quality is great, it never lags. The quality of their own shows and movies ranges from garbage to masterpiece so it's hard to judge overall.",5
"Mar. 10, 2022",just deleted my netflix because…,The people at netflix can go f* ck themselves for cancelling the OA,1
"Mar. 9, 2022",Feel I’ve been betrayed by Netflix,App works fine .streaming works fine.To be honest any thing I watch I've seen before there is very little original stuff to see that I have not watch before. the biggest flaw is that I let my mbership run down as I was going to change it from a single user to one that my whole family could use obviously for more money...but 4 days before it ends I keep getting emails and warnings saying my account is on hold...to me that means I can't use it so is very off putting and it was only by chance that I realised I could Netflix know exactly what there doing wording it like that......so that's another customer you have lost that was going to stay and pay more.,1
"Mar. 8, 2022",Decent enough streaming service. Average,"I couldn't access netflix due to a error code spoke to judelyn tonight who was so patient, was with me every step of way and got it working for me! Absolutely on cloud 9. Netflix customer service I couldn't thank them enough for tonight! Saved me from an autistic meltdown so to that lady especially THANKYOU! Can't thank you enough ❤️",3
"Mar. 7, 2022",The best TV and movie streaming company…,Netflix deleted my account. I was a long time subscriber and was locked into a good price then suddenly my account was inaccessible and had just paid for the new months. The rep told me that I needed to make another account and did not give me back my money for the month I lost... So I sure it was just a way to get me off a lower pricing plan so they could start charging everyone more. The quality of shows also went way down.,4
"Mar. 7, 2022",Netflix sucks,"No one can answer the question I posed . The customer service rep couldn’t and the text messenger couldn’t. So my complaint and issue with Netflix revolves around their need and timing to raise rates AGAIN? My unanswered question is ., Why would Netflix raise rates when their profits are at their highest and would go higher as we have become shut ins during this pandemic?? I signed up when it was 7.99 a month and now they want 19.99. There is only so much an average viewer can watch so spare me the speech on added entertainment, most of what I’ve seen is awful and very few series have I been able to complete. Answer please",1
"Mar. 6, 2022",You've lost another customer,"I do not support propaganda on Netflix.Wanted sweet sweet money you Netflix? Take a hit! Subscriber lost. You will not recover morally, you took a side. World stands with Ukraine!",2
"Mar. 5, 2022",I couldn't access netflix due to a…,"And now, based on recent events, and as if Pedoflix streaming, endorsing, promoting and defending pedophilia/child pornography and rape culture/human trafficking (aka Big Mouth, 13 Reasons Why, 365 Days and Cuties) wasn't bad enough and good enough reasons to cancel your subscription to them, now during this horrible time with Putin and his forces invading and attacking Ukraine, Pedoflix decides to support Putin and his cronies by streaming pro-Putin propaganda, basically being what all television would look like if the Soviet Union had taken over Europe and America. And to cap it all off, they LIED about it.You heard me right, just like how Disney supports communist genocide, terrorism and murder of innocent Uighur Muslims in CCP-controlled China, Pedoflix supports the genocide, terrorism and murder of innocent Ukranians by the evil Vladimir Putin and his fascist, Nazi-esque soldiers. As someone who hates Putin, his anti-LGBT views and the fact he's trying to bring the Soviet Union back, and is horrified with what's going on with Ukraine and supports them, I am even more disgusted with Pedoflix than I am now and want them to shut down even quicker, and if anyone still uses it/wants to have a subscription, they are some of the biggest fools to walk the Earth.It feels so hopeless knowing that despite all this terror going on, that there are still Pedoflix supporters who will just treat this as another bit of internet drama that everyone would just move on from after the majority of people got bored of it, while remaining fully content with still using their Pedoflix subscriptions to ""watch something else"" or get easily distracted by the next pretty looking film or series, not feeling uncomfortable with still giving them financial support in the slightest (Ancient Roman bread and circuses, anyone?), shows that they not only have the worst priorities ever, basically don't care about whatever future the kids and people of the next generation are gonna be growing up into nor the innocent Ukrainians getting slaughtered and how their lives are changed for the worse, nor the innocent Russians who hate Putin and are against this invasion and the possibility of war (just as bad as some Tw@tter posters I've seen even). It's bad enough also that Stranger Things season 3 (Stranger Things was never really that good, to be frank) had awful, xenophobic anti-Russian propaganda (even if it was supposed to represent the Red Scare it was HORRENDOUSLY EXECUTED), but I have a feeling it's going to get even worse when season 4 comes (and even then and there, the damage is done as most ST fans did not like season 3 and are not going to give the rest of the series a chance), even after it was already filmed.Nobody should be supporting or giving money to Pedoflix after this.  They have not only proven that they are full of child molesters, rape glorifiers, a possible Satanic pedophile cult/trafficking ring and Cult of Woke scumbags who think that being born with white/Caucasian skin, as a male, and as religious/Christian automatically makes you an intrinsically and never-changing racist, sexist, homophobe/transphobe or some other bigot in their mentally unhinged mind, but, considering how Putin wants to revive the Soviet Union, they've crossed the line too far once again, showing that they're now ☭ scumbags who don't give a sh!t about your First Amendment, Second Amendment, Fourteenth Amendment, Constitutional, Civil, or basic human rights, and they deserve to lose all of their business and all the executives thrown into prison for their crimes against nature and humanity.A wise man stands with Ukraine. 🇺🇦",5
"Mar. 5, 2022",Netflix deleted my account,thew removed bride and seed of chucky like they were the best films on thta bloody app,1
"Mar. 4, 2022",No one can answer the question I posed…,"netflix is behind,if i want to watch something new i have to go to soap2day and if something new comes up on netflix as a 2022 movie its an old movie not a 2022 movie and now the monthly price has increased",1
"Mar. 3, 2022",Very disappointed!,I use Netflix pretty much everyday with not trouble at all besides prices and shows or movies you look for are not their or only been on for a short while. They do sometimes also take shows of because of popularity which I kind of agree with since they need money. The only actual bad thing I hate is when it buffers but that's probably my internet.,1
"Mar. 3, 2022",I do not support propaganda on Netflix.,"Every year Netflix Canada increases it's fee claiming it's providing us more and every year it's programming seems to get worse. We don't get anywhere near to the programming and selection that Netflix gives it's customers in the States, but we get rate increases year after year. You already took payment for this month but you won't be getting another cent from me as your fees aren't worth the programming you provide. At least with Amazon Prime I pay one fee for the year and am more than satisfied with the service they provide.  Netflix is a ripoff plain and simple.",1
"Updated Mar. 8, 2022",UPDATE: Pedoflix are Evil Putin Supporters and ☭. #NO WAR #STOP WAR #I STAND WITH UKRAINE,"I was one of the oldest fans and subscribers of Netflix and just cancelled my subscription because Netflix has agreed to stream russian propoganda such as TV show ‘Russia is ‘saving’ Ukraine’ in Russia.I messaged them directly to ask whether its true, and they did not even provide me with an answer.If Netflix is directly supporting war spreading misleading information in Russia, I no longer want have Netflix.Bye Netflix… I hope you change your mind and will supprt democracy and freedom.",1
"Mar. 2, 2022",best complaint ever,"The world does not support Russian propaganda. Do you?Once talks about netflix decision to broadcast around 20 russian channels who spread proapganda I’ve wrote to them for clarification and denying or admiting the rumors. But there was no clear answer. Support agent told me that they dont have the answer yet, no decision has been made. But the thing is that the company doesnt have the mutual answer to their customers. One agent to my friend told me that she is not able to answer such questions, she can help with account and troubleshooting. Third agent to one of my friends told me that they are nonpartisan and dont choose the side. Advise from the person who leads support team- if you have peak on one topic,  at least prepare decent answer to your customers - show empathy/ and give explanation. Oh but wait “, netfix forgot what empathy means. In the name of God, and in the face of war which is happening, people, kids are dying you decide (quote from netflix agent) choosing a side. Are you serious???? We, your customers, are waiting for decent decision. We, decent world with the moral stand unite and dont support war nor Russian propaganda and we request for the answer. I am bot going to pay for the compnay who has no values. Looking forward for public decision. And please, hire better Team leads and trainers to improve your support. Slava Ukraini!!!!",1
"Mar. 2, 2022","netflix is behind,if i want to watch…","I just quit Netflix after they decided to jack the price up. I’ve been with them since the mail order days, when they were great. I was curious about the CEO. It turns out he’s a billionaire and gets 10 million a year and another 10 million in extras. Really, 20 million is nothing to a billionaire that would be like a normal person getting 200 dollars a year. But it certainly might keep Netflix going and keeping them from losing business. Sooo stupid.",1
"Mar. 1, 2022",I use Netflix pretty much everyday with…,"When is F... NIET Flix going to release the last season of the Peaky Blinders?!! If they do not tell me NOW, I stop my subscription that just ""offers"" me a vomitrocious lefty propaganda.",4
"Mar. 1, 2022",Every year Netflix Canada increases…,"If you're looking to watch a few old reruns of shows you end up at Netflix. However you are sifting through a mine field of Propaganda. Keep in mind that the Co-Founder of Netflix, Marc Randolph, is directly related to both Sigmund Freud and Edward Bernays (The father of modern propaganda). Almost every Netflix original series or show has wild one sided propaganda laced throughout all the way down to the kids shows.Netflix isn't like it was when it was a DVD rental company... it is an outright propaganda mill.I've been absolutely shocked at the agenda laced throughout the childrens shows as well as the shows that are supposed to be ""documentaries"" (which should be non-bias and about the facts.I never write online reviews but I've been so absolutely disgusted by what I see on Netflix lately that I had to write something about it somewhere. I encourage you to turn off the TV, get off of social media and go take a walk somewhere and just enjoy the real world. It's far more enriching than anything that's on Netflix.",1
"Feb. 28, 2022",Netflix supports Russian propoganda,I do NOT support the Russian Propaganda. Do NOT support that Netflix will broadcast Russian federal channels.,1
"Feb. 28, 2022",The world does not support Russian…,"Im not goint to support Russian propoganda, if you don’t change your plan, I will cancel my subscription",1
"Feb. 28, 2022",I just quit Netflix after they decided…,"Noping out of this stupid site quicker than I got on it. First of all, there are very few decent shows/movies to watch, so I end up re-watching old shows, the only ones worth watching. Their new content is made for the overly sensitive woke crowd that gets offended by everything and must have trans-gender fluid-binary people who think calling women ""women"" is offensive. It's all awful from top to bottom and sideways.Secondly, the prudes cut out scenes!!! Makes sense given the above. It's pathetic. I was re-watching Breaking Bad, for example, and it seems like half the first episode is gone. How in the world am I supposed to watch BB edited for prudes! What a bunch of woke BS.",1
"Feb. 28, 2022",NIET flix,"Netflix picture quality took a massive dive for a prolonged time (still has not improved). And despite a stable internet connection and that all competing services performed well above HD, Netflix refused to help and decided to insult me instead.",2
"Updated Feb. 28, 2022",The Propaganda has become overwhelming.,Great streaming service but THEY ARE ABOUT TO SIGN A DEAL WITH RUSSIA. This deal 'requires' them to stream propaganda by Putin's government about the war in Ukraine. (Would also require them to comply with strict Russian laws about showing LGBT people living their lives freely). BOYCOTT NETFLIX until it drops the deal.,1
"Feb. 28, 2022",I do NOT support the Russian…,"Not good. I've subscribed to them a few times over the years, always selecting the cheapest option as I live alone & obviously can only watch on 1 screen at a time. Sadly with the algorithm's used I just keep getting the same old shows & movies recommended as ""because you watched this"" & sadly there is nothing new and or different recommended for me & it seems to take far too long to sift through the library to find something.",1
"Feb. 28, 2022",Im not goint to support Russian…,I am a paid subscriber. Can i understand why there are certain movies or dramas which are only available on TV app but not on mobile app? It should be consistent content throughout all devices platforms that we can have an equitable enjoyable viewing experience. Agreed?,1
"Feb. 28, 2022",Not worth a penny. A site for the brainless woke crowd.,"like to opean the app , but problem in paying the subscription the other ott app are little bit cheap, in netflix it has some quality content",1
"Feb. 27, 2022","Crappy quality, worse customer support...","How I feel about Netflix. Netflix is a great platform much better than any televsion cable television currently. And certainly a larger variety of shows than any other streaming service currently available.Netflix also has incredible options like allowing multiple users on one account. Or that they are always adding new content to their streaming service. Everyday, Netflix is looking to add more shows. Some people complain that netflix has shows, but it's hard to tell what art is good and what is bad. Usually Netflix's algorithm will be able to provide you with shows that are interesting for you and not other people. And while i write all of these positive things there is really one thing that separates netflix from a 5 star and 3 star. And that's their use of subtitles. Netflix butchers the subtitles on everything show and series of theres. For absolutely no reason. I for the life of me cannot understand it. If a character canc say a sentence with his mouth then someone can read at the same pace.If someone does not want to read subtitles, he can just deactivate them.But don't butcher all the subtitles on your site in order to appeal so some bull sheet aesthetic. Netflix could be great. But they need to fix the user experience so that users can know that what they are reading is actually what's going on in the plot. Because the way they handle it right now does not provide us with that clarity.",1
"Feb. 27, 2022",Great streaming service but THEY ARE…,Personally I find Netflix a brilliant streaming service with 1000s of tv shows movies and documents from your own home. Plus it's not a bad price for how much you are getting,1
"Feb. 27, 2022",Not good.,"American Netflix offers 1100+ TV shows and around 4500+ movies. Whereas Norway Netflix offers only 347 TV shows and 1777 movies,  But the price is the same. 19 dollars a month for 4K.   It does not make sense.",1
